id,dashboard_name,dashboard_link,dashboard_author,bucket_path,created_at,favorite_count
010066ea-30e9-4e7b-9654-2bdea83cacb4,Superstore - Tag Cloud,https://public.tableau.com/app/profile/kizley.benedict/viz/Superstore-TagCloud/OrderDetails,Kizley Benedict,screenshots/010066ea-30e9-4e7b-9654-2bdea83cacb4.png,2026-03-21 18:27:48.504657+00,386
01330a34-b004-4889-8f49-2e67e6e7a4c4,SuperStore Dashboard,https://public.tableau.com/app/profile/iaroslava/viz/Dashboard_17066338442540/OVERVIEW,Iaroslava Mizai,screenshots/01330a34-b004-4889-8f49-2e67e6e7a4c4.png,2026-03-21 18:22:29.249848+00,130
014a0a28-5295-4b3f-814d-f5b8a5bc1208,Superstore Sales Dashboard,https://public.tableau.com/app/profile/quda/viz/SuperstoreSalesDashboard_15886692844100/SalesDashboard,quda,screenshots/014a0a28-5295-4b3f-814d-f5b8a5bc1208.png,2026-02-05 10:17:45.263706+00,6
01625d03-aa0c-412a-9197-5e5d59a879ed,Superstore Performance Overview,https://public.tableau.com/app/profile/efrina/viz/SuperstorePerformanceOverview_17418465017890/Dashboard,Efrina,screenshots/01625d03-aa0c-412a-9197-5e5d59a879ed.png,2026-03-21 18:56:58.892589+00,9
02ed6cc4-8e25-4e23-b9ea-89510ba0f042,Superstore KPI,https://public.tableau.com/app/profile/saeyoon.lee/viz/SuperstoreKPI_16285627736080/1_,Saeyoon Lee,screenshots/02ed6cc4-8e25-4e23-b9ea-89510ba0f042.png,2026-03-21 19:04:21.139034+00,20
0349857e-9540-498f-a202-d1ec04f8b965,Superstore - KPI Color Coding #VOTD,https://public.tableau.com/app/profile/rosa.mariana.de.leon.e/viz/Superstore-KPIColorCoding/Dashboard1,Rosa Mariana de León-Escribano,screenshots/0349857e-9540-498f-a202-d1ec04f8b965.png,2026-04-08 19:13:31.329009+00,624
03d417bf-688b-4772-b85a-12ea8aa3e82b,Interactive Superstore Dashboard,https://public.tableau.com/app/profile/viyer22/viz/InteractiveSuperstoreDashboard_17048816517310/Dashboard1,Venkatesh Iyer,screenshots/03d417bf-688b-4772-b85a-12ea8aa3e82b.png,2026-03-21 19:01:40.182366+00,14
03ee7dec-81aa-4d2c-8848-22a0b49059ec,Superstore Analytics,https://public.tableau.com/app/profile/technical.product.marketing/viz/SuperstoreAnalytics/iPhoneStory,Technical Product Marketing,screenshots/03ee7dec-81aa-4d2c-8848-22a0b49059ec.png,2026-03-21 18:48:20.862165+00,36
047338f0-f691-4626-ba72-56b95831cd62,Superstore Orders Dashboard (for students),https://public.tableau.com/app/profile/eduard6080/viz/SuperstoreOrdersDashboard_17017103433210/OrdersDashboard,Eduard Nizamov,screenshots/047338f0-f691-4626-ba72-56b95831cd62.png,2026-03-21 19:01:26.436089+00,19
04ca20c2-6f38-43bb-8a73-9e412d192121,Superstore KPI Dashboard,https://public.tableau.com/app/profile/corey.jones/viz/SuperstoreKPIDashboard_15812544295180/Dashboard1,Corey Jones,screenshots/04ca20c2-6f38-43bb-8a73-9e412d192121.png,2026-03-21 18:42:06.650485+00,79
05d6545f-e269-4800-aa2b-f33b0dbc2e42,Superstore Basic KPI Dashboard,https://public.tableau.com/app/profile/alishadhillon/viz/SuperstoreBasicKPIDashboard/FigmaDashboard,Alisha Dhillon,screenshots/05d6545f-e269-4800-aa2b-f33b0dbc2e42.png,2026-03-21 19:28:18.205757+00,6
0609ebd6-de69-48cb-9bad-ccaddb0011b4,Metric Analysis - Sample Superstore,https://public.tableau.com/app/profile/charlie.geen/viz/MetricAnalysis-SampleSuperstore/Dashboard24,Charlie Geen,screenshots/0609ebd6-de69-48cb-9bad-ccaddb0011b4.png,2026-03-21 18:43:43.502112+00,156
0680041e-4ba2-4935-8f7e-02f264285350,Superstore Performance Dashboard | #VOTD,https://public.tableau.com/app/profile/nikkiviz/viz/SuperstorePerformanceDashboard_17701564064270/Overview,Nikki Perry,screenshots/0680041e-4ba2-4935-8f7e-02f264285350.png,2026-04-08 19:16:47.270493+00,120
07b48368-60a2-4eca-b595-aefc9938c27f,Bars & Lines & Dots: Superstore Sales by Category,https://public.tableau.com/app/profile/klaus.schulte/viz/BarsLinesDotsSuperstoreSalesbyCategory/LayeringTechnique,Klaus Schulte,screenshots/07b48368-60a2-4eca-b595-aefc9938c27f.png,2026-02-05 10:17:01.122509+00,27
08a16b8a-f5c5-40e9-907d-03e33beea72a,European Superstore Performance - Executive Summary (#VOTD),https://public.tableau.com/app/profile/vignesh.suresh1214/viz/EuropeanSuperstorePerformance-ExecutiveSummary_16845032644260/Dashboard,Vignesh Suresh,screenshots/08a16b8a-f5c5-40e9-907d-03e33beea72a.png,2026-03-21 18:24:42.175656+00,623
0a5b5af9-1ca0-4536-ad6f-3bafa173d2d1,Superstore Summary Dashboard(Mobile),https://public.tableau.com/app/profile/akash.sengupta/viz/SuperstoreSummaryDashboardMobile/SuperstoreSummaryDashboard,Akash Sengupta,screenshots/0a5b5af9-1ca0-4536-ad6f-3bafa173d2d1.png,2026-03-21 19:00:32.596006+00,9
0b2ffff7-686b-4ff5-917f-98a3d25836d7,Superstore Dashboards,https://public.tableau.com/app/profile/vizpositive/viz/SuperstoreDashboards_15973888635250/DB1-SuperstoreOverview,Jyoti Lunaych,screenshots/0b2ffff7-686b-4ff5-917f-98a3d25836d7.png,2026-03-21 18:20:25.520357+00,148
0bef8d4d-d8c6-4f66-b9ca-bede3f4d7522,Superstore Analysis - Tableau Assignment,https://public.tableau.com/app/profile/angeliquegreenhaw/viz/SuperstoreAnalysis-TableauAssignment/TrendsOverTime,angeliquegreenhaw@gmail.com,screenshots/0bef8d4d-d8c6-4f66-b9ca-bede3f4d7522.png,2026-03-21 19:24:33.062212+00,23
0db294be-cc36-4c09-969d-02173c1c6af3,Superstore Dashboard,https://public.tableau.com/app/profile/nisar.ahmed6452/viz/SuperstoreDashboard_16393643972300/SUPERSTOREDASHBOARD,Nisar Ahmed,screenshots/0db294be-cc36-4c09-969d-02173c1c6af3.png,2026-03-21 18:54:29.049667+00,35
0e4dd1b1-d35f-4f41-aac2-7c2d9d4925a9,European Superstore Sale Performance,https://public.tableau.com/app/profile/sparsonsdataviz/viz/EuropeanSuperstoreSalePerformance/BusinessDashboardExp,Samuel Parsons,screenshots/0e4dd1b1-d35f-4f41-aac2-7c2d9d4925a9.png,2026-02-05 10:07:52.90181+00,120
0ef215b2-9a02-4001-9658-b0e96f889acb,Superstore Performance Dashboard,https://public.tableau.com/app/profile/lomska/viz/SuperstorePerformanceOverview_17018791727490/Overview,Tanya Lomskaya,screenshots/0ef215b2-9a02-4001-9658-b0e96f889acb.png,2026-03-21 18:20:39.066136+00,45
0f110afe-6c13-435c-ab14-e7e2d12e8b96,Superstore Sales Dashboard for Executives,https://public.tableau.com/app/profile/stanke/viz/SuperstoreSalesDashboardforExecutives/Executive,Luke Stanke,screenshots/0f110afe-6c13-435c-ab14-e7e2d12e8b96.png,2026-02-05 10:06:09.353377+00,752
0f14796b-d843-4123-bd62-391f16cae229,Demo Excecutive Performance Dashboard - Superstore,https://public.tableau.com/app/profile/an.tran4426/viz/DemoExcecutiveDashboard-Superstore/DemoDashboard-Executive,An Tran,screenshots/0f14796b-d843-4123-bd62-391f16cae229.png,2026-04-08 20:13:29.601475+00,55
0f97d7bd-5844-4585-a428-a4ade4e4fd04,SuperStore Management Dashboard,https://public.tableau.com/app/profile/robert.surkes/viz/SuperStoreManagementDashboard_17144178310960/SuperstoreSummary,Robert Surkes,screenshots/0f97d7bd-5844-4585-a428-a4ade4e4fd04.png,2026-03-21 18:43:56.726186+00,92
10656648-6508-446b-bded-cdeca2a4385b,Superstore Sales Example,https://public.tableau.com/app/profile/august5238/viz/SuperstoreSalesExample_15647669472160/Superstore,August Severn,screenshots/10656648-6508-446b-bded-cdeca2a4385b.png,2026-02-05 10:19:07.203635+00,6
10f30eee-637a-4392-9e08-9ffa46e7ce92,Superstore Sales Overview Dashboard,https://public.tableau.com/app/profile/geraint.davies3535/viz/SuperstoreSalesOverviewDashboard/SalesOverviewDashbaord,Geraint Davies,screenshots/10f30eee-637a-4392-9e08-9ffa46e7ce92.png,2026-02-05 10:18:41.843655+00,6
111e90d3-49be-405a-9bb5-e7c0af7b1908,Superstore Sales Dashboard,https://public.tableau.com/app/profile/zakaria.chbani/viz/SuperstoreSalesDashboard_16571163018690/Home,Zakaria Chbani,screenshots/111e90d3-49be-405a-9bb5-e7c0af7b1908.png,2026-02-05 10:14:33.048793+00,5
124195e1-c99d-4f1e-95d6-bf35ea039d6d,Superstore Sales Overview(Darkmode),https://public.tableau.com/app/profile/israel.ayo/viz/SalesOverviewDarkmode/Dashboard,Israel Ayoola,screenshots/124195e1-c99d-4f1e-95d6-bf35ea039d6d.png,2026-02-05 10:16:22.230349+00,11
12966311-7a12-468b-80a4-681359e67c18,Sample Superstore Dashboard,https://public.tableau.com/app/profile/gurpreet.singh.vilkhoo/viz/superstore_16164828580140/SUPERSTORE,GURPREET SINGH VILKHOO,screenshots/12966311-7a12-468b-80a4-681359e67c18.png,2026-04-08 19:17:00.41422+00,219
141fc560-5b9e-4d9b-a2d2-a3856486a6b2,Superstore,https://public.tableau.com/app/profile/slee/viz/Superstore_290/Overview,Leesol,screenshots/141fc560-5b9e-4d9b-a2d2-a3856486a6b2.png,2026-03-21 19:06:49.274185+00,17
